sp #,Species,Rep,dry mass,Notes,,,,,,,,,,,,,
18,Clarkia purpurea,A,4.36,,,,,,,,,,,,,,
18,Clarkia purpurea,B,3.985,,,,,,,,,,,,,,
18,Clarkia purpurea,C,3.596,,,,,,,,,,,,,,
18,Clarkia purpurea,D,3.626,,,,,,,,,,,,,,
18,Clarkia purpurea,E,3.656,,,,,,,,,,,,,,
19,Colinsia sparsiflora,A,21.013,,,,,,,,,,,,,,
19,Colinsia sparsiflora,B,18.724,,,,,,,,,,,,,,
19,Colinsia sparsiflora,C,18.59,,,,,,,,,,,,,,
19,Colinsia sparsiflora,D,22.041,,,,,,,,,,,,,,
19,Colinsia sparsiflora,E,19.46,,,,,,,,,,,,,,
20,Cryptantha hispidula,A,3.738,,,,,,,,,,,,,,
20,Cryptantha hispidula,B,3.75,,,,,,,,,,,,,,
20,Cryptantha hispidula,C,3.486,,,,,,,,,,,,,,
20,Cryptantha hispidula,D,3.566,,,,,,,,,,,,,,
20,Cryptantha hispidula,E,3.418,,,,,,,,,,,,,,
21,Dichelostemma capitatum,A,8.505,,,,,,,,,,,,,,
21,Dichelostemma capitatum,B,11.891,,,,,,,,,,,,,,
21,Dichelostemma capitatum,C,11.385,,,,,,,,,,,,,,
21,Dichelostemma capitatum,D,11.412,,,,,,,,,,,,,,
21,Dichelostemma capitatum,E,10.754,,,,,,,,,,,,,,
22,Elymus elymoides,A,28.775,,,,,,,,,,,,,,
22,Elymus elymoides,B,20.908,,,,,,,,,,,,,,
22,Elymus elymoides,C,23.549,,,,,,,,,,,,,,
22,Elymus elymoides,D,19.994,,,,,,,,,,,,,,
22,Elymus elymoides,E,13.071,,,,,,,,,,,,,,
23,Epilobium brachycarpum,A,9.77,,,,,,,,,,,,,,
23,Epilobium brachycarpum,B,9.634,,,,,,,,,,,,,,
23,Epilobium brachycarpum,C,8.962,,,,,,,,,,,,,,
23,Epilobium brachycarpum,D,8.226,,,,,,,,,,,,,,
23,Epilobium brachycarpum,E,10.517,,,,,,,,,,,,,,
24,Erigonum nudum,A,10.237,,,,,,,,,,,,,,
24,Erigonum nudum,B,11.416,,,,,,,,,,,,,,
24,Erigonum nudum,C,12.292,,,,,,,,,,,,,,
24,Erigonum nudum,D,9.68,,,,,,,,,,,,,,
24,Erigonum nudum,E,8.495,,,,,,,,,,,,,,
25,Eriophyllum lanatum,A,2.063,,,,,,,,,,,,,,
25,Eriophyllum lanatum,B,2.008,,,,,,,,,,,,,,
25,Eriophyllum lanatum,C,1.163,,,,,,,,,,,,,,
25,Eriophyllum lanatum,D,1.471,,,,,,,,,,,,,,
25,Eriophyllum lanatum,E,1.219,,,,,,,,,,,,,,
26,Euphorbia crenulata,A,5.275,5 seeds,,,,,,,,,,,,,
26,Euphorbia crenulata,B,3.588,,,,,,,,,,,,,,
26,Euphorbia crenulata,C,4.878,,,,,,,,,,,,,,
26,Euphorbia crenulata,D,4.318,,,,,,,,,,,,,,
26,Euphorbia crenulata,E,,missing 9/28,,,,,,,,,,,,,
27,Filago californica,A,,,,,,,,,,,,,,,
27,Filago californica,B,0.983,,,,,,,,,,,,,,
27,Filago californica,C,0.752,,,,,,,,,,,,,,
27,Filago californica,D,0.58,,,,,,,,,,,,,,
27,Filago californica,E,0.579,,,,,,,,,,,,,,
28,Fritillaria purdyi,A,47.815,,,,,,,,,,,,,,
28,Fritillaria purdyi,B,58.135,,,,,,,,,,,,,,
28,Fritillaria purdyi,C,53.995,,,,,,,,,,,,,,
28,Fritillaria purdyi,D,54.972,,,,,,,,,,,,,,
28,Fritillaria purdyi,E,53.451,,,,,,,,,,,,,,
29,Galium aparine,A,3.961,has 25 seeds,,,,,,,,,,,,,
29,Galium aparine,B,3.744,,,,,,,,,,,,,,
29,Galium aparine,C,3.801,,,,,,,,,,,,,,
29,Galium aparine,D,3.496,,,,,,,,,,,,,,
29,Galium aparine,E,3.835,,,,,,,,,,,,,,
30,Galium murale,A,3.808,has 25 seeds,,,,,,,,,,,,,
30,Galium murale,B,3.665,,,,,,,,,,,,,,
30,Galium murale,C,3.321,,,,,,,,,,,,,,
30,Galium murale,D,3.69,,,,,,,,,,,,,,
30,Galium murale,E,3.388,,,,,,,,,,,,,,
31,Gilia capitata,A,14.765,,,,,,,,,,,,,,
31,Gilia capitata,B,13.98,,,,,,,,,,,,,,
31,Gilia capitata,C,11.193,,,,,,,,,,,,,,
31,Gilia capitata,D,11.525,,,,,,,,,,,,,,
31,Gilia capitata,E,11.776,,,,,,,,,,,,,,
