sp #,Species,wet_time,number_seeds,wet_mass,Letter_group,Notes,Start date,End date
1,Agoseris heterophylla,12:53,10,6.178,A,,9/20 @ 1:00pm,9/21
2,Allium falcifolium,,10,61.078,A,,9/20 @ 1:00pm,9/21
3,Anagallis arvensis,12:59,10,5.851,A,,9/20 @ 1:00pm,9/21
4,Ancistrocarphus filagineus,,10,6.752,A,,9/20 @ 1:00pm,9/21
5,Athysanus pusillus,,10,6.801,A,,9/20 @ 1:00pm,9/21
6,Avena fatua,1:09,10,152.198,A,,9/20 @ 1:00pm,9/21
7,Brodiaea elegans,1:11,10,46.697,A,,9/20 @ 1:00pm,9/21
8,Bromus hordeaceus,1:16,10,28.232,A,,9/20 @ 1:00pm,9/21
9,Bromus madritensis,,10,23.129,A,,9/20 @ 1:00pm,9/21
10,Calandrinia cilata,1:24,10,4.455,A,,9/20 @ 1:00pm,9/21
11,Calycadenia pauciflora,,10,20.342,A,,9/20 @ 1:00pm,9/21
12,Castilleja attenuata,4:33,24,4.351,A,,9/20 @ 1:00pm,9/21
13,Centaurea Solstistalis,1:31,10,20.181,A,,9/20 @ 1:00pm,9/21
14,Centri,4:39,30,1.088,A,,9/20 @ 1:00pm,9/21
15,Chaenactis glabriuscula,,10,10.515,A,,9/20 @ 1:00pm,9/21
16,Chlorogalum pomeridianum,,10,143.712,A,,9/20 @ 1:00pm,9/21
17,Clarkia gracilis,,10,5.995,A,,9/20 @ 1:00pm,9/21
18,Clarkia purpurea,1:45,10,6.146,A,,9/20 @ 1:00pm,9/21
19,Colinsia sparsiflora,2:10,10,42.3,A,,9/19 @ 2:00pm,9/20
20,Cryptantha hispidula,,10,5.361,A,,9/19 @ 2:00pm,9/20
21,Dichelostemma capitatum,,10,17.535,A,,9/19 @ 2:00pm,9/20
22,Elymus elymoides,,10,51.505,A,,9/19 @ 2:00pm,9/20
23,Epilobium brachycarpum,,10,32.251,A,,9/19 @ 2:00pm,9/20
24,Erigonum nudum,,10,19.334,A,,9/19 @ 2:00pm,9/20
25,Eriophyllum lanatum,,10,3.895,A,,9/19 @ 2:00pm,9/20
26,Euphorbia crenulata,,,,A,,9/19 @ 2:00pm,9/20
27,Filago californica,,,,A,,9/19 @ 2:00pm,9/20
28,Fritillaria purdyi,,10,129.575,A,,9/19 @ 2:00pm,9/20
29,Galium aparine,,25,7.146,A,,9/19 @ 2:00pm,9/20
30,Galium murale,,25,7.374,A,,9/19 @ 2:00pm,9/20
31,Gilia capitata,,10,98.894,A,mucilage,9/19 @ 2:00pm,9/20
32,Gilia tricolor,,10,16.493,A,mucilage,9/19 @ 2:00pm,9/20
33,Hemizonia congesta,,10,18.389,A,,9/19 @ 2:00pm,9/20
34,Holocarpa virgata,,10,30.968,A,achene detaches ,9/19 @ 2:00pm,9/20
35,Hypochaeris glabra,2:45,10,8.751,A,,9/19 @ 2:00pm,9/20
36,Lactuca serriola,,10,14.991,A,,9/19 @ 2:00pm,9/20
37,Lagophylla minor,1:52,9,5.305,A,,9/19 @ 2:00pm,9/20
38,Lasthenia californica,,10,3.755,A,,9/19 @ 2:00pm,9/20
39,Lepidium,,10,201.772,A,mucilage,9/19 @ 2:00pm,9/20
40,Linanthus dichotomus,2:55,10,3.59,A,,9/19 @ 2:00pm,9/20
41,Lolium multiflorum,,10,32.541,A,,9/19 @ 2:00pm,9/20
42,Lomatium marginatum,,10,110.904,A,,9/19 @ 2:00pm,9/20
43,Lotus humistratus,,10,33.138,A,,9/19 @ 2:00pm,9/20
44,Medicago polymorpha,,10,50.001,A,,9/19 @ 2:00pm,9/20
45,Micropus californicus,,10,13.278,A,,9/19 @ 2:00pm,9/20
46,Microseris douglasii,3:14,10,38.298,A,,9/19 @ 2:00pm,9/20
47,Mimulus douglassi,,,,A,,9/19 @ 2:00pm,9/20
48,Mimulus guttatus,,23,0.859,A,24 seeds found dry 23 weighted,9/19 @ 2:00pm,9/20
49,Nassella pulchra,,,,A,,9/19 @ 2:00pm,9/20
50,Navarretia jepsonii,,10,14.812,A,,9/19 @ 2:00pm,9/20
51,Petrohagia prolifera,3:26,10,3.606,A,,9/19 @ 2:00pm,9/20
52,Phlox gracilis,,10,165.516,A,mucilage,9/19 @ 2:00pm,9/20
53,Plantago erecta,3:30,10,357.658,A,mucilage,9/19 @ 2:00pm,9/20
54,Rigiopappus leptocladus,4:11,10,12.864,A,,9/19 @ 2:00pm,9/20
55,Sidalcea diploscypha,,10,345.371,A,mucilage,9/19 @ 2:00pm,9/20
56,Silene gallica,,24,7.905,A,,9/19 @ 2:00pm,9/20
57,Sisyrinchium bellum,,10,54.937,A,,9/19 @ 2:00pm,9/20
58,Taeniatherum caput-medusae,,10,49.285,A,,9/19 @ 2:00pm,9/20
59,Thysanocarpus curvipes,,10,11.106,A,1 fruit coat separated ,9/19 @ 2:00pm,9/20
60,Trifolium albopurpureum,4:28,10,18.784,A,,9/19 @ 2:00pm,9/20
61,Trifolium fucatum,4:03,10,64.339,A,,9/20 @ 1:00pm,9/21
62,Trifolium hirtum,4:05,10,24.468,A,,9/20 @ 1:00pm,9/21
63,Trifolium willdenovii,,10,38.907,A,,9/20 @ 1:00pm,9/21
64,Trifolium gracilentum,,10,16.363,A,,9/20 @ 1:00pm,9/21
65,Uropappus lindeye,,10,44.386,A,,9/20 @ 1:00pm,9/21
66,Velezia rigida,,18,4.345,A,,9/20 @ 1:00pm,9/21
67,Vicia villosa,,10,571.963,A,,9/20 @ 1:00pm,9/21
68,Viola douglasii,,5,36.098,A,,9/20 @ 1:00pm,9/21
69,Vulpia microstachys,,10,13.964,A,,9/20 @ 1:00pm,9/21
70,Vulpia myuros,,9,5.801,A,,9/20 @ 1:00pm,9/21
71,Zigadenus fremontii,4:30,46,9.273,A,,9/20 @ 1:00pm,9/21
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
