"Line","habitat","watering","fertilization","WFtreatment","Plot","species_code","relcover"
"2","Harshserp","unwatered","unfertilized","C","16","Epicil",0
"2","Harshserp","unwatered","unfertilized","C","16","Filgal",118
"2","Harshserp","unwatered","unfertilized","C","16","Gasven",0
"2","Harshserp","unwatered","unfertilized","C","16","Hesmic",0
"2","Harshserp","unwatered","unfertilized","C","16","Jumbuf",0
"2","Harshserp","unwatered","unfertilized","C","16","Melcal",0
"2","Harshserp","unwatered","unfertilized","C","16","Mimgut",0
"2","Harshserp","unwatered","unfertilized","C","16","Mindou",0
"2","Harshserp","unwatered","unfertilized","C","16","Plecil",0
"2","Harshserp","unwatered","unfertilized","C","16","Pselut",0
"2","Harshserp","unwatered","unfertilized","C","16","Sagape",0
"2","Harshserp","unwatered","unfertilized","C","16","Senvul",1
"2","Harshserp","unwatered","unfertilized","C","16","Sisbel",0
"2","Harshserp","unwatered","unfertilized","C","16","Tricil",0
"2","Harshserp","unwatered","unfertilized","C","16","Tridub",0
"2","Harshserp","unwatered","unfertilized","C","16","Trimic",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_A_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_1C_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_1D_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_2A_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_3_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_3A_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_3B_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_3L_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_3N_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_3O_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_3U_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_4B_2019NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_5B_2019NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_Draba_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_P_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_grass_1A_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_grass_3_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_grass_3I_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_grass_8_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_grass_L_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","20","Agoseris",0
"2","Harshserp","unwatered","unfertilized","C","20","Agohet",0
"2","Harshserp","unwatered","unfertilized","C","20","Allfal",0
"2","Harshserp","unwatered","unfertilized","C","20","Allamp",0
"2","Harshserp","unwatered","unfertilized","C","20","Ancfil",3
"2","Harshserp","unwatered","unfertilized","C","20","Astbre",0
"2","Harshserp","unwatered","unfertilized","C","20","Astgam",0
"2","Harshserp","unwatered","unfertilized","C","20","Astragalussp",0
"2","Harshserp","unwatered","unfertilized","C","20","Athpus",0
"2","Harshserp","unwatered","unfertilized","C","20","Avefat",1
"2","Harshserp","unwatered","unfertilized","C","20","Brodia",0
"2","Harshserp","unwatered","unfertilized","C","20","Brohor",0
"2","Harshserp","unwatered","unfertilized","C","20","Bromad",0
"2","Harshserp","unwatered","unfertilized","C","20","Calcil",0
"2","Harshserp","unwatered","unfertilized","C","20","Calpau",0
"2","Harshserp","unwatered","unfertilized","C","20","Calsup",0
"2","Harshserp","unwatered","unfertilized","C","20","Camgra",0
"2","Harshserp","unwatered","unfertilized","C","20","Carpyc",0
"2","Harshserp","unwatered","unfertilized","C","20","Casatt",0
"2","Harshserp","unwatered","unfertilized","C","20","Casrub",0
"2","Harshserp","unwatered","unfertilized","C","20","Censol",0
"2","Harshserp","unwatered","unfertilized","C","20","Centri",0
"2","Harshserp","unwatered","unfertilized","C","20","Chagla",0
"2","Harshserp","unwatered","unfertilized","C","20","Chlpom",0
"2","Harshserp","unwatered","unfertilized","C","20","Chopol",0
"2","Harshserp","unwatered","unfertilized","C","20","Clarkiasp",1
"2","Harshserp","unwatered","unfertilized","C","20","Colspa",0
"2","Harshserp","unwatered","unfertilized","C","20","Cracon",0
"2","Harshserp","unwatered","unfertilized","C","20","Cryhis",0
"2","Harshserp","unwatered","unfertilized","C","20","Diccap",0
"2","Harshserp","unwatered","unfertilized","C","20","Elyely",0
"2","Harshserp","unwatered","unfertilized","C","20","Epibra",0
"2","Harshserp","unwatered","unfertilized","C","20","Epilobiumsp",0
"2","Harshserp","unwatered","unfertilized","C","20","Ereset",0
"2","Harshserp","unwatered","unfertilized","C","20","Eriogonumsp",0
"2","Harshserp","unwatered","unfertilized","C","20","Erinud",0
"2","Harshserp","unwatered","unfertilized","C","20","Erilan",0
"2","Harshserp","unwatered","unfertilized","C","20","Erivim",0
"2","Harshserp","unwatered","unfertilized","C","20","Erobra",0
"2","Harshserp","unwatered","unfertilized","C","20","Erocic",0
"2","Harshserp","unwatered","unfertilized","C","20","Eupcre",0
"2","Harshserp","unwatered","unfertilized","C","20","Filcal",0
"2","Harshserp","unwatered","unfertilized","C","20","Fripur",0
"2","Harshserp","unwatered","unfertilized","C","20","Galiumsp",0
"2","Harshserp","unwatered","unfertilized","C","20","Gilcap",0
"2","Harshserp","unwatered","unfertilized","C","20","Giltri",0
"2","Harshserp","unwatered","unfertilized","C","20","Hemcon",1
"2","Harshserp","unwatered","unfertilized","C","20","Holvir",0
"2","Harshserp","unwatered","unfertilized","C","20","Hypgla",0
"2","Harshserp","unwatered","unfertilized","C","20","Lacser",0
"2","Harshserp","unwatered","unfertilized","C","20","Lagmin",0
"2","Harshserp","unwatered","unfertilized","C","20","Lascal",0
"2","Harshserp","unwatered","unfertilized","C","20","Lepnit",0
"2","Harshserp","unwatered","unfertilized","C","20","Linbic",0
"2","Harshserp","unwatered","unfertilized","C","20","Lindic",0
"2","Harshserp","unwatered","unfertilized","C","20","Linjep",0
"2","Harshserp","unwatered","unfertilized","C","20","Lolmul",1
"2","Harshserp","unwatered","unfertilized","C","20","Lommar",0
"2","Harshserp","unwatered","unfertilized","C","20","Lothum",0
"2","Harshserp","unwatered","unfertilized","C","20","Lotwra",0
"2","Harshserp","unwatered","unfertilized","C","20","Lupbicnan",0
"2","Harshserp","unwatered","unfertilized","C","20","Lupinussp",0
"2","Harshserp","unwatered","unfertilized","C","20","Miccal",0
"2","Harshserp","unwatered","unfertilized","C","20","Micdou",0
"2","Harshserp","unwatered","unfertilized","C","20","Mimdou",0
"2","Harshserp","unwatered","unfertilized","C","20","Naspul",0
"2","Harshserp","unwatered","unfertilized","C","20","Navjep",0
"2","Harshserp","unwatered","unfertilized","C","20","Petpro",0
"2","Harshserp","unwatered","unfertilized","C","20","Phlgra",0
"2","Harshserp","unwatered","unfertilized","C","20","Plaere",0
"2","Harshserp","unwatered","unfertilized","C","20","Poasec",0
"2","Harshserp","unwatered","unfertilized","C","20","Rancalocc",0
"2","Harshserp","unwatered","unfertilized","C","20","Riglep",0
"2","Harshserp","unwatered","unfertilized","C","20","Siddip",0
"2","Harshserp","unwatered","unfertilized","C","20","Silgal",0
