"","Line","habitat","watering","fertilization","WFtreatment","Plot","origin","SCT_CWM","Mass_CWM","SCP_CWM","Carbon_CWM","CN_CWM","Length_CWM","Starch_CWM","Shape_CWM","Disp_CWM","Texture_CWM","Compact_CWM","PC1_CWM","PC2_CWM","PC3_CWM","PC4_CWM","PC5_CWM","PC6_CWM","PC7_CWM","PC8_CWM","PC9_CWM","PC10_CWM","PC11_CWM","WFtreatment_order"
"1","2","Harsh","none","fertilized","N","38","Native",0.460277130749834,-0.186618687731324,0.281527212049203,0.142346128998309,5.24386681772675,0.316280718806974,0,-0.744792500476469,0.210526315789474,-0.479212178752411,0.850008852800198,0.0396755834502731,-0.151997836530828,-0.0371782893472844,0.285775303689834,0.0603032364102747,-0.217257008347111,0.183878187504016,0.00596143782773913,-0.223656077748679,-0.146294748206136,-0.11569822937545,"N"
"2","2","Harsh","none","fertilized","N","38","Non-Native",0.687091987053902,0.220456610298101,-0.2062121828783,0.287392570943558,10.6849897966758,1.57276434364783,0.684210526315789,-1.13461646495597,0.684210526315789,0.401682874305905,1.79775335411889,-1.92137997341771,-0.412895925061865,0.518834771304968,-0.289191448767625,-0.420749884398935,-0.756887828036927,-0.987553347181866,-0.0631886169628094,-0.0507224582008517,-0.0470740771957194,-0.306422706695965,"N"
"3","2","Harsh","none","fertilized","N","38",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"4","2","Harsh","none","fertilized","N","40","Native",1.14975334957092,0.141987926759095,0.985833924350485,0.27844769798017,10.3421950012649,0.626203002116906,0.0416666666666667,-1.61278011550639,0.375,-1.04924696206477,1.67050927257196,-0.0306856412597502,-0.0419251480605568,-0.397029335855388,0.810271181127901,-0.070176465539269,-0.578861138921985,0.681204355122139,-0.221710297581591,-0.402148905731415,-0.0802691742456246,-0.0789664192410643,"N"
"5","2","Harsh","none","fertilized","N","40","Non-Native",0.21915071631444,0.167368250334413,-0.227131804501027,0.155826530730658,7.48047771961902,0.883310004042653,0.354166666666667,-0.671771458226206,0.395833333333333,0.430276361178717,0.946948407843965,-1.25178201197901,-0.373785552403771,0.479811113394504,-0.125808003623672,-0.236627532765612,-0.108425653191418,-0.561822921528618,-0.0661893865429721,0.2838388878978,-0.198305263806805,-0.130555546361034,"N"
"6","2","Harsh","none","fertilized","N","40",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"7","2","Harsh","none","fertilized","N","44","Native",1.16171914006814,0.0122604531378625,1.7709450630588,0.30506966059296,8.47731424514624,0.488244981895722,0,-1.7868691945547,0.03125,-0.409714908835721,1.79675291622791,0.291160469877295,-0.427375637265499,-0.703778372600488,1.4350577575698,-0.284126917677718,-0.943562045427808,0.123331444286572,-0.86642121560812,-0.446449106571611,-0.100981388458866,0.0735781938921836,"N"
"8","2","Harsh","none","fertilized","N","44","Non-Native",0.271100714535059,0.180133244357722,-0.213682413426647,0.13659822925455,6.90776896087044,0.738190076566552,0.325,-0.60306333018126,0.4125,0.390810246277758,0.849431760219337,-1.13255955303503,-0.224297167320802,0.436870725523317,-0.0419971405991539,-0.197872760711113,-0.0525069359049887,-0.479100559013826,0.00197607860191115,0.150125984277979,-0.0803751531269209,-0.0808154278011828,"N"
"9","2","Harsh","none","fertilized","N","44",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"10","2","Harsh","none","none","C","16","Native",0.552332798127198,-2.62074995973949,-0.764302875251088,0.393451547793675,8.02219791206642,-0.241387645583374,0.00628930817610063,-2.01581601978,0.0251572327044025,-0.565233300730366,2.03736130029418,1.88172509847966,-1.54218941206542,0.658571360921986,-0.544277251362691,0.06541406132758,0.425595346005308,-0.992430854478975,-0.297521160664563,-0.517764784576273,-0.402891948186586,0.1422023950657,"C"
