"","species","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"ALLFAL","ALLFAL","0.990755503401791","1.96050162199448","-0.392473276786016","-0.440856502323711","0.187986092886597","-0.199953771076121","-0.4916644057927","-0.709631160450088","0.600937207466674","-0.577914427695337","0.270548778367462"
"ANAARV","ANAARV","1.97682153558719","1.02714414997031","0.841661673472879","0.872354523755823","-0.553631994214981","1.64699588516254","0.245555226179986","0.244974577523781","1.01080225591771","-0.225690533491917","0.435524490950134"
"AVEFAT","AVEFAT","-2.92066905332789","2.24812505482115","-0.115902509083037","-0.490439318096277","-1.31114645837556","-0.204450307280462","-0.355627550023806","1.39062515585548","-0.609264161678864","0.360273838696397","-0.0965853279081854"
"BROELE","BROELE","0.972847052936186","2.42921109917823","0.903968192665173","-0.41867591958855","-1.56340391707089","-0.0324941680183558","-0.186565771775206","-0.587918991191623","1.1727872463915","1.03462605491389","0.165225525443705"
"BROHOR","BROHOR","-3.76766406240127","-0.988648106437886","1.58796235446314","-0.326540620861304","-0.773050495245178","0.0855184095232747","1.81349766599398","-0.260759333584976","0.75575142458814","-0.805346485811224","0.331766255904991"
"CALCIL","CALCIL","1.85341527161154","0.883323878433426","1.04989586189657","-1.8409652163926","-1.36351296018835","-0.841166552333042","-1.22810896309091","0.60869562227156","-0.468260452466761","0.676433247107527","0.155892318346752"
"CALPAU","CALPAU","-0.754642928936599","0.564155831146673","-0.584473748765621","-0.197496893383107","1.24539868294112","0.305858187193044","-1.14204174276552","0.697542986336584","-0.671751404880752","0.860857641508783","0.0102070461075031"
"CHAGLA","CHAGLA","-0.958086391287543","-1.76870207485955","-0.32102622497854","-0.557897725423439","0.355825805415137","0.275468030059993","-0.447238538538313","0.261437068669162","0.323008322400608","-0.795992568587235","0.127455711617135"
"CHLPOM","CHLPOM","-0.0307464323753739","1.79045885363573","-1.58659777658656","-0.0841709662882695","-0.253337155399437","0.305528447554056","0.72417155225772","0.191728192429587","0.591386495101251","-0.434942457093184","-0.279020593311713"
"CLAGRA","CLAGRA","1.53571185198766","-1.00755077167652","-1.02703191777034","0.0912534939291168","-0.0720580159175732","-0.847775332807427","0.582021774508022","-0.480315070446594","-0.256961355670389","-0.0429116638820031","-0.133596534119576"
"CLAPUR","CLAPUR","2.17345752430636","-0.130256489865077","-0.693113282704634","-0.62981975024352","0.0297930219270125","0.45219047126791","0.748060929684954","-0.138610334827874","0.513936936785862","0.173743468140453","-0.0111022915141904"
"COLSPA","COLSPA","-1.55110106443145","0.0501722061899685","0.928019721404437","1.5285804180017","1.31903524533361","0.163943719723312","0.0286842141185745","-0.0428837371256624","0.160550750960724","-0.0129541944031691","-0.0165679987456679"
"CRYHIS","CRYHIS","1.21266520118534","-0.390367150597008","-1.4538960747956","-0.804169947785921","-0.409463540817575","0.657021041694076","0.169310142453497","-0.0130444552774248","-0.497851098709615","0.136986188336411","-0.130461985679999"
