"","Line","habitat","watering","fertilization","WFtreatment","Plot","SCT_CWM","Mass_CWM","SCP_CWM","Carbon_CWM","CN_CWM","Length_CWM","Starch_CWM","Shape_CWM","Disp_CWM","Texture_CWM","Compact_CWM","PC1_CWM","PC2_CWM","PC3_CWM","PC4_CWM","PC5_CWM","PC6_CWM","PC7_CWM","PC8_CWM","PC9_CWM","PC10_CWM","PC11_CWM","WFtreatment_order"
"1","2","Harsh","none","fertilized","N","38",1.14736911780374,0.0338379225667777,0.0753150291709026,0.429738699941868,15.9288566144026,1.88904506245481,0.684210526315789,-1.87940896543244,0.894736842105263,-0.0775293044465059,2.64776220691908,-1.88170438996744,-0.564893761592693,0.481656481957684,-0.00341614507779131,-0.360446647988661,-0.974144836384038,-0.80367515967785,-0.0572271791350702,-0.274378535949531,-0.193368825401855,-0.422120936071415,"N"
"2","2","Harsh","none","fertilized","N","40",1.36890406588536,0.309356177093507,0.758702119849458,0.434274228710828,17.822672720884,1.50951300615956,0.395833333333333,-2.2845515737326,0.770833333333333,-0.618970600886057,2.61745768041593,-1.28246765323876,-0.415710700464328,0.0827817775391161,0.684463177504229,-0.306803998304881,-0.687286792113403,0.119381433593521,-0.287899684124563,-0.118310017833615,-0.27857443805243,-0.209521965602098,"N"
"3","2","Harsh","none","fertilized","N","44",1.4328198546032,0.192393697495585,1.55726264963216,0.44166788984751,15.3850832060167,1.22643505846227,0.325,-2.38993252473596,0.44375,-0.0189046625579625,2.64618467644725,-0.841399083157731,-0.651672804586301,-0.26690764707717,1.39306061697065,-0.481999678388831,-0.996068981332797,-0.355769114727255,-0.864445137006209,-0.296323122293632,-0.181356541585787,-0.0072372339089992,"N"
"4","2","Harsh","none","none","C","16",0.868898212380281,-2.38955725824085,-0.909256148982184,0.482883999674264,12.1471490377609,0.235308268732255,0.220125786163522,-2.39828226298951,0.238993710691824,-0.54174480042059,2.60401645815737,1.25202615609017,-1.47110207250455,0.780985419679501,-0.617289038418023,-0.118376610479984,0.288403782139425,-1.17394776928505,-0.210452915870018,-0.561043994702596,-0.411549264574884,0.0871347242755156,"C"
"5","2","Harsh","none","none","C","20",1.40842191360131,-0.956134750438252,-0.72050494997997,0.477148485206814,13.404934076595,0.779081608927269,0.285714285714286,-2.33488549817289,0.428571428571429,-0.724166481170346,2.63461036390265,0.33208450094152,-0.542858697361225,0.0509768262584921,-0.415995064344881,-0.210544291105032,-0.0109779211129478,-0.772817374300486,0.0880739837805377,-0.561755355884496,-0.183823102174056,0.069724782061331,"C"
"6","2","Harsh","none","none","C","42",1.9378462977315,0.452759838701032,1.49292308005964,0.441044285218387,16.4421440093502,1.2346403130972,0.219512195121951,-2.45596372477443,0.536585365853659,-1.52127554640489,2.67610840699549,-0.450157461925944,0.0911338280964945,-0.712110859248603,1.14462596872872,-0.391027712569865,-1.06689751896487,0.923387740086976,-0.337240448192788,-0.690549561015838,-0.0673061662655833,-0.18274107668224,"C"
"7","2","Harsh","watered","fertilized","WN","19",1.49067792706328,0.709863414653559,-0.779546550615539,0.417227389998135,23.5054254419382,1.67721400647662,0.959459459459459,-2.00991499539758,1.89189189189189,0.940667608598649,2.67311751735318,-3.24060410029302,0.180376351512316,1.35939225771941,0.488846070731141,-0.261422688357248,0.346458594469689,-1.03922535730603,0.711103257947688,-0.352814433405524,0.634001028377431,0.128554861503672,"WN"
"8","2","Harsh","watered","fertilized","WN","37",1.45261366518474,0.216913251280017,-0.281235535390147,0.42837533865611,21.2977176983859,1.50277890129517,0.632432432432432,-2.07163817111305,1.5027027027027,0.0228085326699957,2.68528961397227,-2.12590147126245,-0.0520374165649366,0.897558090672276,0.559933981050493,-0.0705489667014913,-0.0348972270551573,-0.461826424984736,0.578609051343318,-0.498478367322194,0.214944052735131,-0.110667012878275,"WN"
"9","2","Harsh","watered","fertilized","WN","39",1.23479315461275,0.383376815792275,-0.490982169226553,0.421404606725378,19.3186784774817,1.91905909004741,0.872093023255814,-1.86946656820488,1.38372093023256,0.52601525353103,2.65376058235584,-2.72949890637934,-0.244333082793105,0.977118541944794,0.0522395818281167,-0.329533566743778,-0.384106778613879,-1.08222259498309,0.322004714580951,-0.243217211424782,0.161008846183792,-0.212975488023726,"WN"
"10","2","Harsh","watered","none","W","15",0.990848855718541,-2.1133278345824,-0.878596390486418,0.415379611570209,12.9792015532849,0.255617149134659,0.092,-2.43042237790871,0.176,-1.9147154512018,2.62481560955122,1.30400198461715,-0.68777646192191,1.04484326706797,-0.912800577078278,0.185601670258885,0.0213077956651358,0.148195770165291,-0.553704545678856,-1.11462918661746,-0.986390432522374,-0.201906059166033,"W"
"11","2","Harsh","watered","none","W","41",1.2537186943666,0.16360983594562,-0.0118988558040291,0.433470386007546,16.3008649001589,1.84091131766162,0.630434782608696,-1.97448893883044,1,-0.404608900119828,2.60622041139847,-1.81988492520933,-0.514064932163729,0.317028507028903,-0.172852312159534,-0.266747765069319,-0.752014612639586,-0.405170253511855,-0.0259038096178829,-0.14447729918641,-0.101833240085984,-0.331359163797612,"W"
"12","2","Harsh","watered","none","W","43",1.15444184857512,-0.506284394304618,-0.130522189414183,0.417886935274131,17.3970269001434,1.28743184123821,0.365384615384615,-2.19233312946119,0.75,-0.950078943891198,2.62654887418033,-0.858421373035866,-0.456039998630274,0.702520417031739,-0.0375960576605773,-0.0634761070314128,-0.354402363222409,0.0279501333171357,-0.15845463018581,-0.464387986066383,-0.585061472928221,-0.347085778841572,"W"
"13","2","Lush","none","fertilized","N","18",1.2467125604692,0.674975496531909,-0.701021075981395,0.413955894842475,23.2549955871207,1.87708032257798,0.958333333333333,-1.94618944745941,1.6547619047619,1.06650682113061,2.63674154789411,-3.35839248156983,-0.108025485725214,1.38682553663039,0.371999633129544,-0.409201915382515,0.220355865261435,-1.16082193866184,0.483138315529281,-0.0529650678658678,0.270628983119745,-0.0134067346102083,"N"
"14","2","Lush","none","fertilized","N","24",1.53648219583548,0.810343414744774,-0.767551551609319,0.417586433654269,23.9583019178624,1.68397416893116,0.975460122699386,-1.99619897950459,1.97546012269939,1.0120560300772,2.68900299822424,-3.34860682922148,0.268597386014587,1.37779357293399,0.601854382447106,-0.238244231958384,0.350330356911159,-1.06844224370689,0.810720540008388,-0.400084872065149,0.711018412316502,0.155459906399888,"N"
"15","2","Lush","none","fertilized","N","26",1.47204745972428,0.779171914426224,-0.779206473295338,0.416006787783192,23.677279387413,1.71277548990317,0.96031746031746,-2.01328763564876,1.88888888888889,1.01978782019493,2.67689127251979,-3.31210057360301,0.209068574233395,1.37679736279668,0.534308598167343,-0.259986938012208,0.339967255258018,-1.09804021427159,0.708137869528881,-0.318454672260134,0.601085109825697,0.118068321408347,"N"
"16","2","Lush","none","fertilized","N","31",1.52125054767881,0.813453939603238,-0.767557383147596,0.41915791199796,23.7714436712285,1.70911051594334,0.966131907308378,-1.98787628120143,1.94117647058824,0.949075323793392,2.68339372761035,-3.31519692919054,0.2423858213643,1.33352738403903,0.547220888606059,-0.246779079370412,0.317933927418322,-1.03791055123962,0.808193105247067,-0.361174874370815,0.67063427462832,0.136760714791954,"N"
"17","2","Lush","none","fertilized","N","34",1.25127356903923,0.745933812224415,-0.766550860954018,0.412099736441709,23.4723285467792,1.91349155833083,0.989071038251366,-1.91601961337228,1.66666666666667,1.12071494942962,2.63631466584929,-3.4747109911606,-0.0665155197055219,1.41831033574475,0.335871790604014,-0.443548986404479,0.236192788359957,-1.20165152892781,0.508480116681718,-0.0488683737257787,0.267610583731212,-0.000286914891865062,"N"
"18","2","Lush","none","none","C","14",1.15754146766927,0.131045333224804,0.00325603811915969,0.429964967572618,18.6452601158717,1.79534020297719,0.58955223880597,-2.07922839529492,0.902985074626866,-0.391585598261361,2.50734596920064,-1.9563798253622,-0.813503543858539,0.395289865388021,-0.203639542761258,-0.472040764486407,-0.222810413804813,-0.0398405258630195,-0.260999218343148,0.278236436570916,-0.332351146772155,-0.237732539877024,"C"
"19","2","Lush","none","none","C","21",1.60244993046108,0.911933086346446,-0.775650951937913,0.417914916834863,23.400636061327,1.71970756948282,0.933734939759036,-2.01093209210976,1.77710843373494,0.678415292926202,2.67946060289166,-3.15742460243996,0.390481761217737,1.15424457001352,0.433681675873583,-0.33635599117049,0.260019302470116,-0.854508626935554,0.762828234889839,-0.391336071478448,0.554438549378281,0.113343002668155,"C"
