"","trait","DF","stat","(Intercept)","habitat","watering","fertilization","habitat:watering","habitat:fertilization","watering:fertilization"
"1","PC1_CWM","1,79","Fval","124.056","122.667","0.586","13.275","1.899","8.854","0.109"
"2","PC1_CWM","1,79","p","<0.001","<0.001","0.446","<0.001","0.172","0.004","0.743"
"3","PC2_CWM","1,82","Fval","0.752","66.91","0.776","0.321",NA,NA,NA
"4","PC2_CWM","1,82","p","0.388","<0.001","0.381","0.573",NA,NA,NA
"5","PC3_CWM","1,79","Fval","52.259","43.881","17.133","2.591","14.246","0","2.673"
"6","PC3_CWM","1,79","p","<0.001","<0.001","<0.001","0.111","<0.001","0.986","0.106"
"7","PC4_CWM","1,79","Fval","34.219","5.9","6.403","0.991","10.86","0.024","0.53"
"8","PC4_CWM","1,79","p","<0.001","0.017","0.013","0.323","0.001","0.876","0.469"
