"IDnum","clean_code","H","L","LH_L","W","area_LW","Perimeter1","Hue","PCof19WL","texture","Rectangularity1","LH_Circle","LW_Circle","Compactness Ellipse","BetaShape_a","BetaShape_b","Saturation","LH_area","Org.Filename","Org.Filename2","shape"
5,"ATHPUS",0.7090331,2.880447,2.570245,2.348672,4.834829,7.289747,1.40584,39.57817,0.08500272,0.7835428,0.2622853,0.8315178,0.9940458,1.756241,1.590399,25.43264,1.231291,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
5,"ATHPUS",0.6647186,3.013391,2.658874,2.348672,5.056736,7.26759,1.413472,40.44174,0.1180259,0.7849413,0.2312011,0.804211,0.9957491,1.623634,1.516639,24.83127,1.278422,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
5,"ATHPUS",0.6647186,3.855368,2.924762,2.348672,5.119577,9.394689,1.412731,38.60752,0.1378888,0.5966278,0.2037728,0.71197,0.9523087,5.799184,3.2994,26.3899,1.333407,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
5,"ATHPUS",0.6647186,3.146334,3.057705,2.392987,5.278644,7.555634,1.268957,26.59867,0.4037635,0.7639919,0.2017065,0.7857065,0.9944735,1.723893,1.576917,15.39624,1.419814,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
5,"ATHPUS",0.620404,3.057705,3.234964,2.481616,5.337557,7.666421,1.399374,38.51742,0.1034954,0.7735014,0.1686028,0.8332499,0.9944658,1.747684,1.593547,23.32312,1.439452,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
5,"ATHPUS",0.7533477,3.323593,3.146334,2.437301,5.52608,7.843679,1.40748,41.13099,0.231351,0.806958,0.2191846,0.7819895,0.9934351,1.815826,1.726154,25.7763,1.516039,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
5,"ATHPUS",0.7533477,3.190649,3.10202,2.481616,5.549645,7.932308,1.406674,39.30686,0.1342471,0.7549708,0.2103547,0.8101211,0.9947404,1.694525,1.56656,23.00383,1.569061,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
5,"ATHPUS",0.6647186,4.032626,4.121255,2.481616,5.751915,9.970778,1.402748,37.017,0.1928118,0.6157994,0.1184593,0.6773858,0.9352925,6.07574,3.062538,23.86253,1.576916,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
5,"ATHPUS",0.7976623,3.323593,2.836133,2.481616,5.787263,8.087409,1.462312,34.2048,0.1294859,0.7625932,0.256514,0.784027,0.9948131,1.680145,1.552521,29.45705,1.616192,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
5,"ATHPUS",0.8862914,3.456537,3.146334,2.570245,6.052373,8.153881,1.401347,40.01993,0.2519071,0.7988309,0.2251197,0.784426,0.9936238,1.806781,1.722751,24.00904,1.789005,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
