"species_code","seed_mass","species","nseedssp","nfam","spdrymf","sd_spdrymf"
"Galapa",0.00325,"Galium aparine",1005,10,0.00170105876031046,0.0016574304854089
"Galapa",0.00389333333333333,"Galium aparine",1005,10,0.00170105876031046,0.0016574304854089
"Galapa",0.00272592592592593,"Galium aparine",1005,10,0.00170105876031046,0.0016574304854089
"Galapa",0.000140314136125654,"Galium aparine",1005,10,0.00170105876031046,0.0016574304854089
"Galapa",0.000148672566371681,"Galium aparine",1005,10,0.00170105876031046,0.0016574304854089
"Galapa",0.000167441860465116,"Galium aparine",1005,10,0.00170105876031046,0.0016574304854089
"Galapa",0.000148780487804878,"Galium aparine",1005,10,0.00170105876031046,0.0016574304854089
"Galapa",0.000164690721649485,"Galium aparine",1005,10,0.00170105876031046,0.0016574304854089
"Galmur",0.000206666666666667,"Galium murale",117,5,0.000143233766233766,4.41458842005243e-05
"Galmur",1e-04,"Galium murale",117,5,0.000143233766233766,4.41458842005243e-05
"Galmur",0.000160714285714286,"Galium murale",117,5,0.000143233766233766,4.41458842005243e-05
"Galmur",0.000103333333333333,"Galium murale",117,5,0.000143233766233766,4.41458842005243e-05
"Galmur",0.000145454545454545,"Galium murale",117,5,0.000143233766233766,4.41458842005243e-05
"Hypgla",0.00115333333333333,"Hypochaeris glabra",138,5,0.000840893023255814,0.000227952889326761
"Hypgla",0.000616,"Hypochaeris glabra",138,5,0.000840893023255814,0.000227952889326761
"Hypgla",0.00096046511627907,"Hypochaeris glabra",138,5,0.000840893023255814,0.000227952889326761
"Hypgla",0.000628,"Hypochaeris glabra",138,5,0.000840893023255814,0.000227952889326761
"Hypgla",0.000846666666666667,"Hypochaeris glabra",138,5,0.000840893023255814,0.000227952889326761
"Lagmin",0.000366666666666667,"Lagophylla minor",63,5,0.000248234856930509,7.36396649445979e-05
"Lagmin",0.000222222222222222,"Lagophylla minor",63,5,0.000248234856930509,7.36396649445979e-05
"Lagmin",0.000266666666666667,"Lagophylla minor",63,5,0.000248234856930509,7.36396649445979e-05
"Lagmin",0.000208695652173913,"Lagophylla minor",63,5,0.000248234856930509,7.36396649445979e-05
"Lagmin",0.000176923076923077,"Lagophylla minor",63,5,0.000248234856930509,7.36396649445979e-05
"Lacser",0.000572727272727273,"Lactuca serriola",89,5,0.000537757575757576,0.000102132207055806
"Lacser",0.000495833333333333,"Lactuca serriola",89,5,0.000537757575757576,0.000102132207055806
"Lacser",0.0003875,"Lactuca serriola",89,5,0.000537757575757576,0.000102132207055806
"Lacser",0.00066,"Lactuca serriola",89,5,0.000537757575757576,0.000102132207055806
"Lacser",0.000572727272727273,"Lactuca serriola",89,5,0.000537757575757576,0.000102132207055806
"Lommar",0.0088,"Lomatium marginatum",53,5,0.00687890909090909,0.00116412532340596
"Lommar",0.00646,"Lomatium marginatum",53,5,0.00687890909090909,0.00116412532340596
"Lommar",0.00695454545454545,"Lomatium marginatum",53,5,0.00687890909090909,0.00116412532340596
"Lommar",0.0057,"Lomatium marginatum",53,5,0.00687890909090909,0.00116412532340596
"Lommar",0.00648,"Lomatium marginatum",53,5,0.00687890909090909,0.00116412532340596
"Lothum",0.00198,"Lotus humistratus",25,5,0.00339695238095238,0.00100693370562731
"Lothum",0.00445,"Lotus humistratus",25,5,0.00339695238095238,0.00100693370562731
"Lothum",0.00397142857142857,"Lotus humistratus",25,5,0.00339695238095238,0.00100693370562731
"Lothum",0.00383333333333333,"Lotus humistratus",25,5,0.00339695238095238,0.00100693370562731
"Lothum",0.00275,"Lotus humistratus",25,5,0.00339695238095238,0.00100693370562731
"Medpol",0.00366,"Medicago polymorpha",70,5,0.00332949269005848,0.00042164892049905
"Medpol",0.00266666666666667,"Medicago polymorpha",70,5,0.00332949269005848,0.00042164892049905
"Medpol",0.00316875,"Medicago polymorpha",70,5,0.00332949269005848,0.00042164892049905
"Medpol",0.00348888888888889,"Medicago polymorpha",70,5,0.00332949269005848,0.00042164892049905
"Medpol",0.00366315789473684,"Medicago polymorpha",70,5,0.00332949269005848,0.00042164892049905
"Linbic",0.00135,"Linanthus bicolor",2,1,0.00135,NA
"RipLep",0.000907692307692308,"Rigiopappus leptocladus",61,2,0.00069551282051282,0.000300067108426599
"RipLep",0.000483333333333333,"Rigiopappus leptocladus",61,2,0.00069551282051282,0.000300067108426599
"SidDip",0.0059,"Sidalcea diploscypha",36,5,0.00530466666666667,0.00104758876579611
"SidDip",0.0064,"Sidalcea diploscypha",36,5,0.00530466666666667,0.00104758876579611
"SidDip",0.00544,"Sidalcea diploscypha",36,5,0.00530466666666667,0.00104758876579611
"SidDip",0.00515,"Sidalcea diploscypha",36,5,0.00530466666666667,0.00104758876579611
"SidDip",0.00363333333333333,"Sidalcea diploscypha",36,5,0.00530466666666667,0.00104758876579611
"Thycur",0.00148,"Thysanocarpus curvipes",79,3,0.00164757904245709,0.000218302071653907
"Thycur",0.00156829268292683,"Thysanocarpus curvipes",79,3,0.00164757904245709,0.000218302071653907
"Thycur",0.00189444444444444,"Thysanocarpus curvipes",79,3,0.00164757904245709,0.000218302071653907
"Trifuc",0.00578888888888889,"Trifolium fucatum",76,5,0.00560434920634921,0.00152546874613663
"Micdou",0.00252105263157895,"Microseris douglasii",88,8,0.00313018735650315,0.000747091106520959
"Micdou",0.00190909090909091,"Microseris douglasii",88,8,0.00313018735650315,0.000747091106520959
"Micdou",0.00308571428571429,"Microseris douglasii",88,8,0.00313018735650315,0.000747091106520959
"Micdou",0.00315,"Microseris douglasii",88,8,0.00313018735650315,0.000747091106520959
"Micdou",0.00269230769230769,"Microseris douglasii",88,8,0.00313018735650315,0.000747091106520959
"Mimdou",0.00298333333333333,"Mimulus douglassi",24,1,0.00298333333333333,NA
"Mimgut",2.613e-05,"Mimulus guttatus",500,5,3.721e-05,2.59911042474151e-05
"Mimgut",8.28e-05,"Mimulus guttatus",500,5,3.721e-05,2.59911042474151e-05
"Mimgut",2.916e-05,"Mimulus guttatus",500,5,3.721e-05,2.59911042474151e-05
"Mimgut",1.742e-05,"Mimulus guttatus",500,5,3.721e-05,2.59911042474151e-05
"Mimgut",3.054e-05,"Mimulus guttatus",500,5,3.721e-05,2.59911042474151e-05
"Trifuc",0.00304285714285714,"Trifolium fucatum",76,5,0.00560434920634921,0.00152546874613663
