"IDnum","Species","Rep","dry.mass","number_seeds","wet_mass","Notes","repdryperseed","repwetperseed","rep_pctch","fulldata"
12,"Castilleja attenuata","A",2.566,24,4.351,NA,0.106916666666667,0.181291666666667,1.69563522992985,1
12,"Castilleja attenuata","B",2.716,24,4.894,NA,0.113166666666667,0.203916666666667,1.8019145802651,1
12,"Castilleja attenuata","C",2.537,10,3.801,NA,0.2537,0.3801,1.49822625147812,1
12,"Castilleja attenuata","D",2.587,10,3.792,NA,0.2587,0.3792,1.46579049091612,1
12,"Castilleja attenuata","E",2.467,24,3.482,NA,0.102791666666667,0.145083333333333,1.41143088771788,1
13,"Centaurea Solstistalis","A",13.895,10,20.181,NA,1.3895,2.0181,1.45239294710327,1
13,"Centaurea Solstistalis","B",14.611,10,20.708,NA,1.4611,2.0708,1.41728834439806,1
13,"Centaurea Solstistalis","C",12.971,30,18.631,NA,0.432366666666667,0.621033333333333,1.43635802945031,1
13,"Centaurea Solstistalis","D",13.916,10,19.83,NA,1.3916,1.983,1.42497844208106,1
13,"Centaurea Solstistalis","E",14.913,10,21.988,NA,1.4913,2.1988,1.4744182927647,1
14,"Centri","A",0.796,30,1.088,NA,0.0265333333333333,0.0362666666666667,1.36683417085427,1
14,"Centri","B",0.759,25,1.117,NA,0.03036,0.04468,1.47167325428195,1
14,"Centri","C",0.796,10,0.964,NA,0.0796,0.0964,1.21105527638191,1
14,"Centri","D",0.906,34,1.014,NA,0.0266470588235294,0.0298235294117647,1.11920529801324,1
14,"Centri","E",0.698,28,0.811,NA,0.0249285714285714,0.0289642857142857,1.16189111747851,1
15,"Chaenactis glabriuscula","A",6.026,10,10.515,NA,0.6026,1.0515,1.74493859940259,1
15,"Chaenactis glabriuscula","B",5.596,10,9.35,NA,0.5596,0.935,1.67083631165118,1
15,"Chaenactis glabriuscula","C",8.146,101,14.768,NA,0.0806534653465347,0.146217821782178,1.81291431377363,1
15,"Chaenactis glabriuscula","D",6.839,10,10.955,NA,0.6839,1.0955,1.60184237461617,1
15,"Chaenactis glabriuscula","E",6.393,10,13.138,NA,0.6393,1.3138,2.05506022211794,1
16,"Chlorogalum pomeridianum","A",101.861,10,143.712,NA,10.1861,14.3712,1.41086382423106,1
16,"Chlorogalum pomeridianum","B",97.29,10,125.074,NA,9.729,12.5074,1.28557919621749,1
16,"Chlorogalum pomeridianum","C",98.992,10,133.542,NA,9.8992,13.3542,1.34901810247293,1
