"IDnum","Species","Rep","dry.mass","number_seeds","wet_mass","Notes","repdryperseed","repwetperseed","rep_pctch","fulldata"
59,"Thysanocarpus curvipes","B",6.636,10,12.549,NA,0.6636,1.2549,1.89104882459313,1
59,"Thysanocarpus curvipes","C",7.833,NA,NA,NA,NA,NA,NA,NA
59,"Thysanocarpus curvipes","D",8.771,NA,NA,NA,NA,NA,NA,NA
59,"Thysanocarpus curvipes","E",8.283,NA,NA,NA,NA,NA,NA,NA
60,"Trifolium albopurpureum","A",18.747,10,18.784,NA,1.8747,1.8784,1.00197364911719,1
60,"Trifolium albopurpureum","B",18.505,10,26.586,NA,1.8505,2.6586,1.43669278573359,1
60,"Trifolium albopurpureum","C",20.269,NA,NA,NA,NA,NA,NA,NA
60,"Trifolium albopurpureum","D",19.627,10,30.26,NA,1.9627,3.026,1.54175370662862,1
60,"Trifolium albopurpureum","E",18.008,9,19.896,"1 seed lost while weighing wet",2.00088888888889,2.21066666666667,1.10484229231453,1
61,"Trifolium fucatum","A",60.364,10,64.339,NA,6.0364,6.4339,1.06585050692466,1
61,"Trifolium fucatum","B",58.826,10,64.82,NA,5.8826,6.482,1.10189372046374,1
61,"Trifolium fucatum","C",52.24,NA,NA,NA,NA,NA,NA,NA
61,"Trifolium fucatum","D",62.815,10,76.196,NA,6.2815,7.6196,1.21302236726896,1
61,"Trifolium fucatum","E",50.515,10,53.235,NA,5.0515,5.3235,1.05384539245769,1
62,"Trifolium hirtum","A",23.882,10,24.468,NA,2.3882,2.4468,1.02453730843313,1
62,"Trifolium hirtum","B",27.616,10,27.84,NA,2.7616,2.784,1.00811123986095,1
62,"Trifolium hirtum","C",24.198,NA,NA,NA,NA,NA,NA,NA
62,"Trifolium hirtum","D",27.834,10,32.658,NA,2.7834,3.2658,1.17331321405475,1
62,"Trifolium hirtum","E",27.042,10,32.021,NA,2.7042,3.2021,1.18412099696768,1
63,"Trifolium willdenovii","A",21.689,10,38.907,NA,2.1689,3.8907,1.79385863801927,1
63,"Trifolium willdenovii","B",23.415,10,42.885,NA,2.3415,4.2885,1.83151825752723,1
63,"Trifolium willdenovii","C",23.468,NA,NA,NA,NA,NA,NA,NA
63,"Trifolium willdenovii","D",21.664,10,40.265,NA,2.1664,4.0265,1.85861336779911,1
63,"Trifolium willdenovii","E",22.935,10,36.182,NA,2.2935,3.6182,1.57758883802049,1
64,"Trifolium gracilentum","A",12.752,10,16.363,NA,1.2752,1.6363,1.2831712672522,1
64,"Trifolium gracilentum","B",12.168,10,16.669,NA,1.2168,1.6669,1.36990466798159,1
64,"Trifolium gracilentum","C",12.988,NA,NA,NA,NA,NA,NA,NA
64,"Trifolium gracilentum","D",13.522,10,13.586,NA,1.3522,1.3586,1.00473302765863,1
64,"Trifolium gracilentum","E",11.739,10,15.286,NA,1.1739,1.5286,1.30215520913195,1
65,"Uropappus lindeye","A",21.123,10,44.386,NA,2.1123,4.4386,2.10131136675662,1
65,"Uropappus lindeye","B",20.649,10,40.597,NA,2.0649,4.0597,1.96605162477602,1
65,"Uropappus lindeye","C",20.592,NA,NA,NA,NA,NA,NA,NA
65,"Uropappus lindeye","D",20.474,10,40.274,NA,2.0474,4.0274,1.96708019927713,1
65,"Uropappus lindeye","E",21.457,10,40.484,NA,2.1457,4.0484,1.8867502446754,1
66,"Velezia rigida","A",3.059,18,4.345,NA,0.169944444444444,0.241388888888889,1.42039882314482,1
66,"Velezia rigida","B",4.056,25,5.844,NA,0.16224,0.23376,1.44082840236686,1
66,"Velezia rigida","C",4.364,NA,NA,NA,NA,NA,NA,NA
66,"Velezia rigida","D",4.018,25,5.903,NA,0.16072,0.23612,1.46913887506222,1
66,"Velezia rigida","E",4.292,25,6.117,NA,0.17168,0.24468,1.42520969245107,1
67,"Vicia villosa","A",492.922,10,571.963,NA,49.2922,57.1963,1.16035194209226,1
67,"Vicia villosa","B",454.098,10,509.239,NA,45.4098,50.9239,1.12142973543156,1
67,"Vicia villosa","C",361.245,NA,NA,NA,NA,NA,NA,NA
67,"Vicia villosa","D",372.816,10,422.601,NA,37.2816,42.2601,1.13353772370285,1
67,"Vicia villosa","E",447.202,10,488.433,NA,44.7202,48.8433,1.09219770931257,1
68,"Viola douglasii","A",24.008,5,36.098,NA,4.8016,7.2196,1.5035821392869,1
68,"Viola douglasii","B",23.316,5,36.215,NA,4.6632,7.243,1.55322525304512,1
68,"Viola douglasii","C",24.264,NA,NA,NA,NA,NA,NA,NA
68,"Viola douglasii","D",29.546,6,44.12,NA,4.92433333333333,7.35333333333333,1.49326473972788,1
68,"Viola douglasii","E",NA,NA,NA,NA,NA,NA,NA,NA
69,"Vulpia microstachys","A",7.742,10,13.964,NA,0.7742,1.3964,1.80366830276414,1
69,"Vulpia microstachys","B",7.59,10,13.364,NA,0.759,1.3364,1.76073781291173,1
69,"Vulpia microstachys","C",5.609,NA,NA,NA,NA,NA,NA,NA
69,"Vulpia microstachys","D",8.481,10,16.274,NA,0.8481,1.6274,1.91887749086193,1
69,"Vulpia microstachys","E",8.992,10,16.801,NA,0.8992,1.6801,1.86843861209964,1
70,"Vulpia myuros","A",4.088,9,5.801,NA,0.454222222222222,0.644555555555556,1.4190313111546,1
70,"Vulpia myuros","B",3.98,10,5.931,NA,0.398,0.5931,1.49020100502513,1
70,"Vulpia myuros","C",4.131,NA,NA,NA,NA,NA,NA,NA
70,"Vulpia myuros","D",4.343,10,6.452,NA,0.4343,0.6452,1.48560902601888,1
70,"Vulpia myuros","E",4.439,10,5.577,NA,0.4439,0.5577,1.2563640459563,1
71,"Zigadenus fremontii","A",3.658,46,9.273,NA,0.0795217391304348,0.201586956521739,2.53499179879716,1
71,"Zigadenus fremontii","B",3.405,26,10.308,NA,0.130961538461538,0.396461538461538,3.0273127753304,1
71,"Zigadenus fremontii","C",3.276,NA,NA,NA,NA,NA,NA,NA
71,"Zigadenus fremontii","D",3.592,NA,11.269,NA,NA,NA,3.13724944320713,NA
71,"Zigadenus fremontii","E",3.647,28,10.907,NA,0.13025,0.389535714285714,2.99067726898821,1
27,NA,"D2",NA,25,0.842,NA,NA,0.03368,NA,1
