"","species","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","SCT","Mass","Carbon","N","CN","Length","W","area","Shape","Intensity","P","Texture","Fit_rect","Compact","germ_is_disp","lump_dispcat","mucilage","Starch","annual","family","Functional.group","how3d","SCTmm","SCTperL","SCP","SCTperW","SCTperMass","Disp","SA_2D","origin"
"1","ALLFAL",0.896615363297645,2.02937141916838,0.0260881808134919,0.268929983454385,-0.0145559246860805,-0.00193430816408748,0.651672991388329,0.671981583283087,0.588141574690718,0.45995541989577,0.25842728060885,1.67332005306815,1.40224644733382,0.436761092150171,32.6689419795222,13.369306310071,1.02351331281187,2.0650592,1.37106429521256,-4.12983271680384,5.033866,1.90348360901154,-2.27583919471629,0.74678339,2.6529739074605,0,2,0,0,"bulb","ALLIACEAE","Forb",0,0.035,0.112145262083737,-0.887436770457526,0.130187044874814,0.0927983116842368,0,0.532419313798986,"Native"
"2","ANAARV",1.91050519692608,0.752247159635838,1.11717794647879,-0.309123388921716,1.28392856679561,1.3605176358397,-0.595227643959855,-0.0601889693180458,1.00107388052487,0.0396921367762932,0.413860403159201,1.34164078649987,-0.837987998616981,0.505330016583748,22.9850746268657,21.9851370851371,0.197744181029447,1.0280981,-0.0964531707696968,-4.76725566032509,7.176409,1.12488501806978,-0.972138196560036,0.81554451,2.68813520264763,0,2,0,0,"annual","Primulaceae","Forb",0,0.0225,0.135878785277519,-1.22905077634581,0.147936037138251,0.228064684668606,0,1.22133818883948,"Non-Native"
"3","AVEFAT",-3.01362647190509,1.9217545282367,0.0791542385515087,0.760762392199486,0.970775564479428,-0.543003521272363,-0.0624157827413593,-1.5382002528895,-0.537682769139419,-0.209834694010256,-0.0456297607160552,2.56904651573303,2.59260493074192,0.425799367825653,17.7657627682582,23.9674126790898,2.11680362962042,2.3974183,2.71037456434246,-2.04939670969689,36.966633,2.84816535645264,-1.1708040533053,0.77405444,2.7091420281871,1,3,0,1,"annual","Poaceae","Grass",0.269706614727089,0.0825,0.0996710208624266,-1.2682391662442,0.185504763533904,0.0785687722435565,1,0.137790792110175,"Non-Native"
"4","BROELE",0.811405161009641,2.03387522190793,1.17292055075071,1.0232723167009,1.47773733435637,-0.22486825260875,0.250949129764776,0.633375816367524,0.982225634167577,-1.26612595088481,0.112611522821502,1.84390889145858,0.982153375973858,0.457297161936561,26.661101836394,17.1522229179712,0.687996136683123,1.7016795,0.892962655880126,-5.04187359897924,3.8314516,1.64999655708082,-1.87772634971231,0.8051196,2.67311430752396,0,2,0,1,"perennial","THEMIDACEAE","Forb",0,0.0425,0.146149724881278,-0.883956457720279,0.158035837224345,0.126160258226387,0,0.757033901200696,"Native"
"5","BROHOR",-3.69747829191496,-1.65549885367835,0.842125451233109,0.812790707471032,0.0303052450866877,-0.0653399580587165,-1.40942790990709,0.723482634535339,0.970316833543115,0.661595684335269,0.338905492000029,0.469041575982343,0.544357106974783,0.403233106013639,18.7755734655921,21.4764735017335,2.44769550676209,1.8789379,2.35146358659565,-1.80518576791072,31.684679,3.14007574814226,1.53311742370047,0.52244457,2.49110949112267,1,4,0,1,"annual","Poaceae","Grass",0.117180610950795,0.00275,0.0154225441060628,-0.737359501377006,0.0382569315227125,0.0399448415748056,1,0.788612161546613,"Non-Native"
"6","CALCIL",1.65671522995243,0.694686372788201,1.03595298327389,2.03714237763306,0.412226597006832,-1.07233670715743,0.988663186740503,-0.880479396388807,-0.530189742597525,-0.591381039029575,0.15987354074,1.67332005306815,-1.08803509163034,0.478072449318711,32.5623130608176,14.6817717901613,0.339875047630171,0.94168466,-0.0387842700084479,-3.23557577499489,7.024024,1.19166917413471,-3.85646446278322,0.789683385,2.68642732796976,0,7,0,1,"annual","MONTIACEAE","Forb",0,0.035,0.157845095900307,-1.12033132612472,0.192788566566995,0.322327856699856,0,1.23045344414315,"Native"
"7","CALPAU",-0.750273999055052,0.802345593904729,-0.39158751451876,-0.419398046631795,-1.01029506111046,0.723419989649399,0.925912814922218,-1.06896605680358,-0.840014534689151,-0.597655329255273,0.0427778982510705,2.23606797749979,0.327661004001989,0.452674212946586,27.8705341351256,16.2420357913441,1.13917092051146,1.444655,1.14023968676381,-2.52762839039768,7.3893639,1.93309369665415,-1.9395354010061,0.7311858,2.6312299803459,0,4,0,0,"annual","Asteraceae","Forb",0.201368759552104,0.0625,0.14143998001696,-0.733078420939705,0.207997414325335,0.212221473536818,2,0.792854009890333,"Native"
"8","CHLPOM",-0.0750081189170856,2.00713892302977,-1.21328118949445,0.0881447311909517,0.343477444040195,0.212469961236447,-0.723725969065072,-0.0392624932520732,0.648709861825177,0.359547742256608,-0.25263029928285,2.14476105895272,2.3095287481084,0.497337115072934,34.3176661264182,14.4921601964674,1.38002907514096,2.7120518,2.06510837333592,-3.3870510452423,4.4755521,2.28194711749168,-0.731069404315595,0.76625936,2.65631305032016,0,2,0,0,"bulb","AGAVACEAE","Forb",0.16586980786892,0.0575,0.120271967693397,-1.15967792412775,0.145607897927263,0.07556594655703,0,0.216838744155766,"Native"
"9","CLAGRA",1.51471463957051,-0.720358888812655,-1.29209759392279,-0.128984816573929,-0.272849362415263,-0.747701343651625,-0.233108547729759,0.52973163225713,-0.233925475370082,0.0752949921584189,-0.122721437548458,1.4142135623731,-0.895508192691627,0.517165648336728,63.9850644942295,8.08259946949602,0.579909667096663,0.8153881,0.0293713186481763,-2.6755143953108,11.849313,1.37611949731109,-1.18766487113728,0.79495482,2.63100449359883,0,7,0,0,"annual","Onagraceae","Forb",0,0.025,0.118316201985917,0.646097665126697,0.175100674839718,0.247415633282451,0,1.34674817866291,"Native"
"10","CLAPUR",2.13875392595659,0.160724755980433,-0.707747753230631,0.589174905022735,-0.297228415682225,0.444155591117509,-0.628546986112377,0.279652404224634,0.448136287308273,-0.226111086607179,-0.0134315711017289,1.48323969741913,-0.955915526657423,0.538604395604396,56.5457875457875,9.52510202759604,0.406973303542777,1.01480362,-0.0220825547567142,-3.67257082961546,14.020755,1.24856585865375,-1.30205281323434,0.76264321,2.60200137882537,0,7,0,0,"annual","Onagraceae","Forb",0,0.0275,0.135298573252678,-1.00393128813676,0.16461725026182,0.267448869271606,0,1.27064841341046,"Native"
"11","COLSPA",-1.51239438810458,-0.256975981644377,0.918122302415449,-1.78402769074269,-0.52982412026648,0.55221573487623,0.0588166782329987,0.149932990957521,0.143988810987042,0.0433223467033786,-0.0181690692986505,1.08397416943394,0.712051801283051,0.413686113393591,20.1002465078061,20.5811462676805,1.14200384303999,2.2112972,1.6314595660653,-2.87612202909751,13.7594231,2.04347526509836,-0.0576216340510432,0.78745827,2.67239942524917,0,5,0,0,"annual","Plantaginaceae","Forb",0.357115397136589,0.0146875,0.0684685224874532,0.201308418610064,0.0814986437997742,0.0848894765742757,2,0.41201569903306,"Native"
"12","CRYHIS",1.19824219390103,0.00769311475468018,-1.59195924309964,0.895086460379223,0.0301103186464591,0.585008198551466,-0.184192987495124,-0.193980392131251,-0.547202393712722,-0.000800419878156987,-0.0932791263912184,2.14476105895272,-1.02398730732953,0.519812350733538,46.301603548277,11.2266597892565,0.640096448045438,0.87299704,0.0439478495410302,-2.67405276125271,12.6693285,1.42897844487539,-1.34424288911692,0.6861189,2.5452730422394,0,7,0,0,"annual","Boraginaceae","Forb",0,0.0575,0.174116025353435,-0.808219226713707,0.256641885179722,0.400119705888103,0,1.38503059533436,"Native"
"13","DICCAP",0.190479026523303,0.118453860169878,-0.00841264002649682,1.7166812403457,-0.0407589008843863,-1.69754002469143,-0.0879319698770562,-0.378626254957708,0.152678711366617,-0.207337358181096,0.0285115494149342,1.34164078649987,0.17085728288807,0.494248739495798,41.690756302521,11.855115697815,1.26808174883368,1.4313608,1.25457030570566,-2.48351160974305,5.041452,2.02200028196041,-2.25119512077995,0.72112719,2.65135945408676,0,2,0,1,"perennial","THEMIDACEAE","Forb",0,0.0225,0.0795666010244119,-0.640969489456686,0.12537666094497,0.137717798450728,0,0.767429976254746,"Native"
"14","ELYELY",-2.74797427033549,-0.245264294776828,0.33819328951111,0.210099223350618,0.490162721997202,-0.886555975063897,-0.888022448489801,-0.0196422711064345,-0.56694099950742,-0.160885207543154,-0.0841622044838107,1.58113883008419,0.927230671912489,0.413631561571476,21.5978870914493,19.1514827269948,1.78883299126556,1.06354994,1.54398710328834,-1.77797598776172,35.738312,2.51691842807734,0.378265599210711,0.76570198,2.67761700036402,1,3,0,1,"perennial","Poaceae","Grass",0.262328084301555,0.03125,0.0722744611230119,-0.15136743717927,0.171413912256257,0.111193507200381,1,0.972931324789002,"Native"
"15","ERINUD",-0.956769501148456,-0.280671427492147,0.419713133237162,1.22443909466212,0.998337293037047,-0.632378532342442,-0.343881414160455,0.677251957746038,-0.303121016262861,-0.00188654859839547,-0.158364234197223,1.48323969741913,-0.0043092715880984,0.421308030112923,25.0062735257215,16.8480933266433,1.06560840293529,1.2408079,0.76562606218026,-2.57309223876675,15.398703,1.7995165385548,-0.51356219810559,0.64354775,2.58996649672405,0,7,0,1,"shrub","polygonaceae","Forb",0,0.0275,0.0973357595681651,-0.325967198496103,0.148872359619865,0.166188930650885,0,1.03389047637454,"Native"
