"","Line","habitat","watering","fertilization","WFtreatment","Plot","SCT_CWM","Mass_CWM","SCP_CWM","Carbon_CWM","CN_CWM","Length_CWM","Starch_CWM","Shape_CWM","Disp_CWM","Texture_CWM","Compact_CWM","PC1_CWM","PC2_CWM","PC3_CWM","PC4_CWM","PC5_CWM","PC6_CWM","PC7_CWM","PC8_CWM","PC9_CWM","PC10_CWM","PC11_CWM"
"1","2","Harshserp","unwatered","fertilized","F","38",1.09000066191355,0.0321460264384388,0.0715492777123576,0.408251764944774,15.1324137836824,1.79459280933207,0.65,-1.78543851716082,0.85,-0.0736528392241807,2.51537409657313,-1.78763518296609,-0.536685191711987,0.457557299110339,-0.003157351027862,-0.342433109381159,-0.925501929803139,-0.763413600600664,-0.0543224187667808,-0.260671593140673,-0.183715880812907,-0.401015948419201
"2","2","Harshserp","unwatered","fertilized","F","40",1.34096724821423,0.303042785724252,0.743218403117836,0.425411489349383,17.458944706172,1.47870661827875,0.387755102040816,-2.23792807222785,0.755102040816326,-0.60633854780675,2.56404017673397,-1.25631304873192,-0.407254306775998,0.081079668181302,0.670540676985809,-0.300456059942969,-0.673230944453498,0.117013283008036,-0.282018570982914,-0.115901033536262,-0.272890033692342,-0.205241641357792
"3","2","Harshserp","unwatered","fertilized","F","44",1.41513072059575,0.190018466662306,1.53803718482188,0.436215199849392,15.195143907177,1.21129388490101,0.320987654320988,-2.36042718492441,0.438271604938272,-0.0186712716621852,2.61351572982445,-0.831019262870584,-0.643626616009164,-0.263584677681563,1.37597266689704,-0.475929489455082,-0.983796004768468,-0.351266291293962,-0.853735109113205,-0.292679596829102,-0.179137839422194,-0.00715196238349429
"4","2","Harshserp","unwatered","unfertilized","C","16",0.45001568654223,-1.23758828684135,-0.470917679766017,0.250093016117941,6.29119445278168,0.121869754815728,0.11400651465798,-1.24210710037567,0.123778501628664,-0.280577925950729,1.34865998972971,0.648446171087985,-0.761899142271168,0.40449000293215,-0.319661815927996,-0.0613781965053082,0.149303850205658,-0.60804703999359,-0.108975868897678,-0.290583644730098,-0.213157199479397,0.0451289822784632
"5","2","Harshserp","unwatered","unfertilized","C","20",0.352105478400328,-0.239033687609563,-0.180126237494993,0.119287121301704,3.35123351914874,0.194770402231817,0.0714285714285714,-0.583721374543223,0.107142857142857,-0.181041620292587,0.658652590975662,0.0830194943664132,-0.135713349317259,0.0127454757608584,-0.10397861839498,-0.0526562209859406,-0.00276235635504221,-0.193214741990855,0.0220244473123837,-0.140441210424411,-0.045956806997518,0.0174321222611798
"6","2","Harshserp","unwatered","unfertilized","C","42",1.36985686563779,0.320054368736937,1.05534217728354,0.311772684378515,11.6228949031613,0.872762979948018,0.155172413793103,-1.73611228820262,0.379310344827586,-1.07538443797587,1.89173180494509,-0.318233824594841,0.0644099156087321,-0.50339991076483,0.809153462160583,-0.276287822051311,-0.754105962477693,0.652828800356147,-0.238407327541078,-0.488141856329091,-0.0475586106976471,-0.129172623041955
"7","2","Harshserp","watered","fertilized","FW","19",1.29776666591391,0.617998737463098,-0.678664055829999,0.363233257174847,20.4635468553345,1.46016278210906,0.835294117647059,-1.74980834893436,1.64705882352941,0.818921780196616,2.3271846621663,-2.82124711467498,0.156992827841495,1.18349532444502,0.425625610629298,-0.227603585539916,0.301545006826416,-0.904716897385923,0.619112337284196,-0.307157532606209,0.551937362165694,0.111910652144707
"8","2","Harshserp","watered","fertilized","FW","37",1.15336278136986,0.172227259600014,-0.223298601060847,0.340126341851418,16.910205039491,1.19319354823865,0.502145922746781,-1.64486292556186,1.1931330472103,0.0181097791585803,2.13209690379772,-1.68796516610299,-0.0413493141785326,0.712659127889993,0.444598152961046,-0.0559875825597732,-0.0277240653978193,-0.366653796737544,0.459426273305252,-0.395787992394368,0.170663036388193,-0.0878684645230993
"9","2","Harshserp","watered","fertilized","FW","39",1.09476506491439,0.33990109441377,-0.435303778901893,0.373616455447242,17.1279005058085,1.70143383241317,0.77319587628866,-1.6574652048002,1.22680412371134,0.466364039213078,2.35281866064539,-2.41998498945309,-0.216666447677451,0.866312231569759,0.0463888408785442,-0.292194186160567,-0.340631703782966,-0.959455900896981,0.285530722078025,-0.215644292689724,0.142730958186224,-0.188827827970499
"10","2","Harshserp","watered","unfertilized","W","15",0.531571274527114,-1.13375956790901,-0.471349994896147,0.222843139254404,6.96309096206273,0.137133663698852,0.0493562231759657,-1.30387466626004,0.0944206008583691,-1.0272078600868,1.40816288066052,0.699561407386735,-0.368990302740923,0.560519140435724,-0.48972048133551,0.0995320143749836,0.0114296278806225,0.0794750193887588,-0.297052673730502,-0.59798438302567,-0.529167887449851,-0.108310825150855
"11","2","Harshserp","watered","unfertilized","W","41",1.20148041543466,0.156792759447886,-0.0114030701455278,0.415409119923899,15.6216621959856,1.76420667942572,0.604166666666667,-1.89221856637917,0.958333333333333,-0.387750195948168,2.49762789425687,-1.74407358207305,-0.492684635589719,0.30378837587846,-0.165586718964843,-0.255640930929546,-0.720701779553837,-0.388254171859789,-0.0248075162509991,-0.138462728389407,-0.0975957946790065,-0.317549418377198
"12","2","Harshserp","watered","unfertilized","W","43",1.05317501975274,-0.461873482523511,-0.119072874553289,0.381230186565873,15.8709719089028,1.17449922358574,0.333333333333333,-2.00002320582424,0.684210526315789,-0.866738685655128,2.39614985012942,-0.783140776417601,-0.416070624136527,0.640871091866305,-0.0342945393856768,-0.0578950986589533,-0.323304143710345,0.0255201600247073,-0.14454929975747,-0.42366068846896,-0.533734177472422,-0.316631816754405
"13","2","Lushserp","unwatered","fertilized","F","18",1.08522129615972,0.587543437395651,-0.610215237123701,0.3603346649406,20.2426904592553,1.63393520307306,0.83419689119171,-1.69409236877296,1.44041450777202,0.928355544508539,2.29519471526534,-2.9233830961047,-0.094076225026822,1.2072033310352,0.323878707441796,-0.356220764979227,0.191721410729577,-1.01043746645218,0.420595810100941,-0.0461130045084613,0.235548129884177,-0.0116767373341145
"14","2","Lushserp","unwatered","fertilized","F","24",1.49968022707295,0.790933991637115,-0.749167083307299,0.407584363387101,23.3844503749196,1.64363945829808,0.952095808383234,-1.9483858302949,1.92814371257485,0.987815167081339,2.62459574078174,-3.26842334565272,0.262116125524882,1.34482422202269,0.587488161197213,-0.232543178406448,0.341855494938645,-1.04282945640032,0.791339101268349,-0.390502173224097,0.693970990818994,0.151728465884811
"15","2","Lushserp","unwatered","fertilized","F","26",1.38416402929298,0.732654188191822,-0.73268668384487,0.391170561646882,22.2637104687615,1.61052023677463,0.902985074626866,-1.89309135889361,1.77611940298507,0.9589010409311,2.51707686819025,-3.11438282127905,0.196541930976692,1.29462985068027,0.502460369016343,-0.244477947535039,0.319583749221033,-1.03246651899933,0.66589914814033,-0.299445165900939,0.565179841555311,0.111011615548054
"16","2","Lushserp","unwatered","fertilized","F","31",1.49199572945421,0.797810594610868,-0.752796664240912,0.411097182921076,23.3143005237049,1.67624300602135,0.947552447552448,-1.94964789117832,1.90384615384615,0.930822036588296,2.63179000207938,-3.25146525335091,0.237676421583037,1.30791086316303,0.536747130981865,-0.242040453192063,0.31173841681995,-1.0179284710113,0.792687047287248,-0.354229449882497,0.657720852396844,0.13412326864425
"17","2","Lushserp","unwatered","fertilized","F","34",1.19886420489099,0.714690511188837,-0.734444018610394,0.394839014496507,22.4891943668094,1.83334531504995,0.947643979057592,-1.83576748296925,1.59685863874346,1.07377400913937,2.52589310916451,-3.32919199319708,-0.0637796162471387,1.35892506616371,0.32188051089658,-0.42500302945549,0.226195505970615,-1.15130157048537,0.487227715097794,-0.0468313999263128,0.256373386852819,-0.000282108890176271
"18","2","Lushserp","unwatered","unfertilized","C","14",1.03407037778454,0.117067164347492,0.00290872738644938,0.384102037698206,16.6564323701787,1.60383724799295,0.526666666666667,-1.85744403313013,0.806666666666667,-0.349823479244067,2.2398957324859,-1.74770938185161,-0.726768307414168,0.353088525955858,-0.181864122836546,-0.421696235936796,-0.199038515797151,-0.0356063216269146,-0.233163378470472,0.248551330356313,-0.29690748461305,-0.212369019704526
"19","2","Lushserp","unwatered","unfertilized","C","21",1.49441959807044,0.850454451311854,-0.723359876526368,0.389740877497681,21.8230650909004,1.60377222771994,0.870786516853933,-1.87536363646191,1.65730337078652,0.632658750602207,2.49882280943829,-2.9445817880468,0.364113829605167,1.07645126693369,0.404486513178684,-0.313684682633544,0.242420623521311,-0.796862455597651,0.711434606992302,-0.364953844374661,0.517048950150223,0.105694909377376
"20","2","Lushserp","unwatered","unfertilized","C","28",1.57494269557027,0.916686518327453,-0.793270826018298,0.406892603071283,23.2460626308226,1.65941771714851,0.941176470588235,-1.98416734209489,1.81818181818182,0.818632050752923,2.61817587186074,-3.17865453828897,0.43186466082667,1.2141743526044,0.515054191347747,-0.31649872339118,0.324286549091343,-0.935204820874966,0.800731799421358,-0.389470097735496,0.645283135330491,0.138587864276563
"21","2","Lushserp","unwatered","unfertilized","C","29",1.4764444327081,0.795940882444758,-0.790353309056754,0.408310348930322,23.1437545299968,1.64500116518003,0.915492957746479,-2.00068344506995,1.85915492957746,0.918419606868211,2.63319101739895,-3.17041077311624,0.2819523354443,1.31947684237061,0.523677032994308,-0.203555901314761,0.340695883628162,-1.02794244013532,0.720218762292409,-0.349477343283533,0.591079650223074,0.130515788842274
"22","2","Lushserp","unwatered","unfertilized","C","35",1.1419544412422,0.617766524656585,-0.605310875110141,0.320182622161507,18.3635940341206,1.32463277245485,0.75,-1.53911973405543,1.47959183673469,0.806729742134492,2.06380507883325,-2.59503743631593,0.170259397171095,1.07430430651133,0.422667470030622,-0.20072750963167,0.267969445102483,-0.851947506870162,0.566191789079645,-0.255940329226217,0.48346126230021,0.0995863787373946
